COUNTRY,YEAR,VALUE
Austria,2014,8507786
Austria,2015,8584926
Austria,2016,8700471
Austria,2017,8772865
Austria,2018,8822267
Austria,2019,8858775
Austria,2020,8901064
Austria,2021,8932664
Austria,2022,8978929
Belgium,2014,11180840
Belgium,2015,11237274
Belgium,2016,11311117
Belgium,2017,11351727
Belgium,2018,11398589
Belgium,2019,11455519
Belgium,2020,11522440
Belgium,2021,11554767
Belgium,2022,11617623
Bulgaria,2014,7245677
Bulgaria,2015,7202198
Bulgaria,2016,7153784
Bulgaria,2017,7101859
Bulgaria,2018,7050034
Bulgaria,2019,7000039
Bulgaria,2020,6951482
Bulgaria,2021,6916548
Bulgaria,2022,6838937
Croatia,2014,4246809
Croatia,2015,4225316
Croatia,2016,4190669
Croatia,2017,4154213
Croatia,2018,4105493
Croatia,2019,4076246
Croatia,2020,4058165
Croatia,2021,4036355
Croatia,2022,3862305
Cyprus,2014,858000
Cyprus,2015,847008
Cyprus,2016,848319
Cyprus,2017,854802
Cyprus,2018,864236
Cyprus,2019,875899
Cyprus,2020,888005
Cyprus,2021,896007
Cyprus,2022,904705
Czechia,2014,10512419
Czechia,2015,10538275
Czechia,2016,10553843
Czechia,2017,10578820
Czechia,2018,10610055
Czechia,2019,10649800
Czechia,2020,10693939
Czechia,2021,10494836
Czechia,2022,10516707
Denmark,2014,5627235
Denmark,2015,5659715
Denmark,2016,5707251
Denmark,2017,5748769
Denmark,2018,5781190
Denmark,2019,5806081
Denmark,2020,5822763
Denmark,2021,5840045
Denmark,2022,5873420
Estonia,2014,1315819
Estonia,2015,1314870
Estonia,2016,1315944
Estonia,2017,1315635
Estonia,2018,1319133
Estonia,2019,1324820
Estonia,2020,1328976
Estonia,2021,1330068
Estonia,2022,1331796
Finland,2014,5451270
Finland,2015,5471753
Finland,2016,5487308
Finland,2017,5503297
Finland,2018,5513130
Finland,2019,5517919
Finland,2020,5525292
Finland,2021,5533793
Finland,2022,5548241
France,2014,66165980
France,2015,66458153
France,2016,66638391
France,2017,66809816
France,2018,67026224
France,2019,67177636
France,2020,67320216
France,2021,67656682
France,2022,67871925
Germany,2014,80767463
Germany,2015,81197537
Germany,2016,82175684
Germany,2017,82521653
Germany,2018,82792351
Germany,2019,83019213
Germany,2020,83166711
Germany,2021,83155031
Germany,2022,83237124
Greece,2014,10926807
Greece,2015,10858018
Greece,2016,10783748
Greece,2017,10768193
Greece,2018,10741165
Greece,2019,10724599
Greece,2020,10718565
Greece,2021,10678632
Greece,2022,10459782
Hungary,2014,9877365
Hungary,2015,9855571
Hungary,2016,9830485
Hungary,2017,9797561
Hungary,2018,9778371
Hungary,2019,9772756
Hungary,2020,9769526
Hungary,2021,9730772
Hungary,2022,9689010
Ireland,2014,4637852
Ireland,2015,4677627
Ireland,2016,4726286
Ireland,2017,4784383
Ireland,2018,4830392
Ireland,2019,4904240
Ireland,2020,4964440
Ireland,2021,5006324
Ireland,2022,5060004
Italy,2014,60782668
Italy,2015,60795612
Italy,2016,60665551
Italy,2017,60589445
Italy,2018,60483973
Italy,2019,59816673
Italy,2020,59641488
Italy,2021,59236213
Italy,2022,59030133
Latvia,2014,2001468
Latvia,2015,1986096
Latvia,2016,1968957
Latvia,2017,1950116
Latvia,2018,1934379
Latvia,2019,1919968
Latvia,2020,1907675
Latvia,2021,1893223
Latvia,2022,1875757
Lithuania,2014,2943472
Lithuania,2015,2921262
Lithuania,2016,2888558
Lithuania,2017,2847904
Lithuania,2018,2808901
Lithuania,2019,2794184
Lithuania,2020,2794090
Lithuania,2021,2795680
Lithuania,2022,2805998
Luxembourg,2014,549680
Luxembourg,2015,562958
Luxembourg,2016,576249
Luxembourg,2017,590667
Luxembourg,2018,602005
Luxembourg,2019,613894
Luxembourg,2020,626108
Luxembourg,2021,634730
Luxembourg,2022,645397
Malta,2014,429424
Malta,2015,439691
Malta,2016,450415
Malta,2017,460297
Malta,2018,475701
Malta,2019,493559
Malta,2020,514564
Malta,2021,516100
Malta,2022,520971
Netherlands,2014,16829289
Netherlands,2015,16900726
Netherlands,2016,16979120
Netherlands,2017,17081507
Netherlands,2018,17181084
Netherlands,2019,17282163
Netherlands,2020,17407585
Netherlands,2021,17475415
Netherlands,2022,17590672
Poland,2014,38017856
Poland,2015,38005614
Poland,2016,37967209
Poland,2017,37972964
Poland,2018,37976687
Poland,2019,37972812
Poland,2020,37958138
Poland,2021,37840001
Poland,2022,37654247
Portugal,2014,10427301
Portugal,2015,10374822
Portugal,2016,10341330
Portugal,2017,10309573
Portugal,2018,10291027
Portugal,2019,10276617
Portugal,2020,10295909
Portugal,2021,10298252
Portugal,2022,10352042
Romania,2014,19947311
Romania,2015,19870647
Romania,2016,19760585
Romania,2017,19643949
Romania,2018,19533481
Romania,2019,19414458
Romania,2020,19328838
Romania,2021,19201662
Romania,2022,19042455
Slovakia,2014,5415949
Slovakia,2015,5421349
Slovakia,2016,5426252
Slovakia,2017,5435343
Slovakia,2018,5443120
Slovakia,2019,5450421
Slovakia,2020,5457873
Slovakia,2021,5459781
Slovakia,2022,5434712
Slovenia,2014,2061085
Slovenia,2015,2062874
Slovenia,2016,2064188
Slovenia,2017,2065895
Slovenia,2018,2066880
Slovenia,2019,2080908
Slovenia,2020,2095861
Slovenia,2021,2108977
Slovenia,2022,2107180
Spain,2014,46512199
Spain,2015,46449565
Spain,2016,46440099
Spain,2017,46528024
Spain,2018,46658447
Spain,2019,46937060
Spain,2020,47332614
Spain,2021,47398695
Spain,2022,47432893
Sweden,2014,9644864
Sweden,2015,9747355
Sweden,2016,9851017
Sweden,2017,9995153
Sweden,2018,10120242
Sweden,2019,10230185
Sweden,2020,10327589
Sweden,2021,10379295
Sweden,2022,10452326
